源事件,关系,目标事件,强度,因果状态
遵义会议,influenced,四渡赤水,explicit_context,not_inferred
东交民巷英日帝国主义会议,influenced,反赤大同盟,explicit_context,not_inferred
扎西会议,influenced,四渡赤水战役,explicit_context,not_inferred
遵义会议,influenced,中央红军长征,explicit_context,not_inferred
新县第一次农民代表大会,influenced,反对国民党右派斗争,explicit_context,not_inferred
盘江流域反蒋武装斗争,part_of,盘县椿寨起义,explicit_structure,not_inferred
上海各团体救国联合会,part_of,抗日救亡运动,explicit_structure,not_inferred
土改,influenced,收入增加,explicit_context,not_inferred
七千人大会,influenced,责任制试点,explicit_context,not_inferred
苛捐杂税,influenced,罢市运动,explicit_context,not_inferred
男女同工同酬,influenced,妇女生产,explicit_context,not_inferred
宪政运动,influenced,国民大会,explicit_context,not_inferred
减租,part_of,土地改革,explicit_structure,not_inferred
石柱教匪,influenced,崇德乡农民武装暴动,explicit_context,not_inferred
皖南事变,influenced,合川抗日救亡运动,explicit_context,not_inferred
军阀混战,influenced,革命形势,explicit_context,not_inferred
南昌起义,influenced,弋横农民运动,explicit_context,not_inferred
中国工农红军长征,influenced,抗日救国宣传运动,explicit_context,not_inferred
醴陵会议,influenced,湘东独立师成立,explicit_context,not_inferred
蒋张战争,influenced,革命形势,explicit_context,not_inferred
宜章暴动,part_of,湘南起义,explicit_structure,not_inferred
二七会议,influenced,江西土地革命,explicit_context,not_inferred
皖山分区全境解放,influenced,渡江战役,explicit_context,not_inferred
湖北省第一次农民代表大会,influenced,西乡地区的农民革命斗争,explicit_context,not_inferred
民兵工厂,influenced,联防队,explicit_context,not_inferred
反对肖显铭罢课斗争,part_of,学生运动,explicit_structure,not_inferred
马日事变,influenced,醴陵农民运动,explicit_context,not_inferred
三路进攻,part_of,合围,explicit_structure,not_inferred
公共汽车工人斗争,part_of,川东职工运动,explicit_structure,not_inferred
文家市会师,part_of,秋收起义,explicit_structure,not_inferred
李堡之战,part_of,苏中战役,explicit_structure,not_inferred
弋横起义,influenced,八七会议,explicit_context,not_inferred
湘南起义,influenced,井冈山会师,explicit_context,not_inferred
农运工作,influenced,二五减租,explicit_context,not_inferred
九华分粮斗争,influenced,皖南分粮斗争高潮,explicit_context,not_inferred
红二团教导队,influenced,白沙区农民武装起义,explicit_context,not_inferred
第一届人民代表大会,influenced,法制化政权建设,explicit_context,not_inferred
退押,part_of,土地改革,explicit_structure,not_inferred
江西省教育改革,influenced,马克思主义学习运动,explicit_context,not_inferred
江西省教育改革,influenced,马克思主义学习运动,explicit_context,not_inferred
四渡赤水,part_of,红军长征,explicit_structure,not_inferred
中国共产党第三次全国代表大会,influenced,国共合作,explicit_context,not_inferred
土城战役,influenced,扎西会议,explicit_context,not_inferred
八七会议,influenced,秋收暴动,explicit_context,not_inferred
赣西南苏维埃运动,influenced,六次代表大会,explicit_context,not_inferred
皖南事变,influenced,赤石大屠杀,explicit_context,not_inferred
两路口战斗,influenced,云贵川边根据地创建,explicit_context,not_inferred
祥云武装斗争,part_of,滇西解放战役,explicit_structure,not_inferred
青阳据点攻坚战,influenced,双沟镇政权建立,explicit_context,not_inferred
四行仓库保卫战,part_of,八一三事变,explicit_structure,not_inferred
新民主主义研究会(新研),part_of,新妇协,explicit_structure,not_inferred
乐安县第五次工农兵代表大会,influenced,查田运动,explicit_context,not_inferred
解放大军渡过长江,influenced,武装起义的准备工作,explicit_context,not_inferred
学生运动,influenced,党员发展,explicit_context,not_inferred
二五减租减息,influenced,杨歧山武装暴动,explicit_context,not_inferred
平江暴动,part_of,秋收起义,explicit_structure,not_inferred
中共三大,influenced,国共合作,explicit_context,not_inferred
石阡会议,influenced,黔西会议,explicit_context,not_inferred
