事件名,严格断言数,全部断言数,受控角色数,省域数,观测起,观测止,状态
湖南地下工作,0,3,1,0,,,strict_backbone
四渡赤水,0,6,2,0,,,strict_backbone
古邵暴动,0,2,2,0,,,strict_backbone
盐民反革命运动,0,2,2,0,,,strict_backbone
百日大战,0,4,2,0,,,strict_backbone
地下工作,1,40,5,2,,,strict_backbone
庆祝‘五一’劳动节大会,0,1,0,0,,,context_only
粤汉铁路和汉口人力车工人罢工,2,6,6,0,,,strict_backbone
攻打大定百纳场黄家坝战斗,0,3,3,0,,,strict_backbone
组织土匪/成立司令部,0,5,1,0,,,strict_backbone
长甘桥谈判,0,1,1,0,,,strict_backbone
整编行动,0,4,4,1,1949-01-01,1949-12-31,strict_backbone
分粮分地、焚毁田契债约,0,0,0,0,,,isolated
宣传回民政策与宰牛分肉,0,5,3,0,,,strict_backbone
马克思主义在威远的传播,0,3,1,0,,,strict_backbone
邮电接收后续工作安排,0,1,0,0,,,context_only
常宁农民运动,0,3,1,0,,,strict_backbone
沛南玉皇庙党的活动分子会议,0,2,2,0,,,strict_backbone
沙子哨战斗,0,3,0,0,,,context_only
八一起义三周年纪念活动,0,3,3,0,,,strict_backbone
铁石山农民武装暴动,4,8,4,1,,,strict_backbone
筹组武装力量,0,3,0,0,,,context_only
民工伤亡,0,1,0,0,,,context_only
郎岱县革命斗争,1,1,1,0,,,strict_backbone
中国共产党第六次全国代表大会,0,3,0,0,,,context_only
株洲转运工人罢工,0,2,2,0,,,strict_backbone
宽大与镇压政策,0,3,0,0,,,context_only
第一次全国苏维埃区域代表大会,0,3,0,0,,,context_only
军队整编,0,6,0,0,,,context_only
突围/被俘/就义,0,0,0,0,,,isolated
自卫战争动员粉碎内战,0,4,1,0,,,strict_backbone
庐山会谈,0,5,3,0,,,strict_backbone
爆炸事件,1,1,1,0,,,strict_backbone
岭江警察所袭击,0,3,3,0,,,strict_backbone
查尼皮会议,0,9,6,0,,,strict_backbone
六马区农民暴动,0,1,0,0,,,context_only
攻张潭,0,1,1,0,,,strict_backbone
突围战斗,0,11,7,0,,,strict_backbone
黔东群众工作,0,2,0,0,,,context_only
六安县总工会成立,0,3,0,0,,,context_only
狼山民兵联合防线,0,3,0,0,,,context_only
茗洋年关暴动,0,2,2,0,,,strict_backbone
沙市纱厂事件,0,5,2,0,,,strict_backbone
迎接中央首长进城,0,4,4,0,,,strict_backbone
黔东特区第一次工农兵苏维埃大会,0,4,2,0,,,strict_backbone
西盟叛乱,0,2,0,0,,,context_only
溪口战斗,0,6,1,1,,,strict_backbone
龙武县城进攻,0,2,1,0,,,strict_backbone
变工队,0,3,0,0,,,context_only
敌占巢县西犯,0,3,1,0,,,strict_backbone
崇德农民暴动,2,2,2,0,,,strict_backbone
余干县知青联谊会,0,3,0,0,,,context_only
"粤,类型:领导,描述:林育南领导示威活动",0,1,0,0,,,context_only
宜城农民运动,0,2,2,0,,,strict_backbone
江西青年服务团,0,2,0,0,,,context_only
打土豪分田地运动,1,74,43,5,1936-01-01,1936-12-31,strict_backbone
诱杀袁祖铭行动,0,3,1,0,,,strict_backbone
当阳战斗,1,6,3,1,,,strict_backbone
妇女解放运动,4,42,28,1,,,strict_backbone
火烧竹篱笆,0,11,2,0,,,strict_backbone
社会主义青年团组织活动,1,2,2,0,,,strict_backbone
民众剧社,1,10,3,0,,,strict_backbone
苏中抗日根据地创建与反扫荡斗争,0,5,3,1,,,strict_backbone
黄金山战斗,0,6,3,0,,,strict_backbone
威赫战役,0,3,1,0,,,strict_backbone
大柏圩战斗,0,6,5,0,,,strict_backbone
盐阜区民兵工作,0,2,1,0,,,strict_backbone
织金解放,0,4,0,0,,,context_only
解放四川,2,7,4,0,,,strict_backbone
县属解放事件,0,1,0,0,,,context_only
合师校学运,0,1,0,0,,,context_only
黄口暴动,1,27,15,0,1930-01-01,1930-12-31,strict_backbone
中共云南省临时委员会扩大会议,0,3,1,0,,,strict_backbone
冒水井到分水岭阻击战,0,1,1,0,,,strict_backbone
特别法庭审判梁荣铨事件,0,2,2,0,,,strict_backbone
苏南湾休整,0,4,0,0,,,context_only
革命烈士事迹,0,5,3,0,,,strict_backbone
组织农民反‘三征’,0,3,1,1,,,strict_backbone
逮捕进步学生事件,1,3,1,0,,,strict_backbone
洼垤会师合编,0,3,0,0,,,context_only
孙小庄反击战,0,1,0,0,,,context_only
区县两级建政,0,3,0,0,,,context_only
罢课运动,1,14,8,2,,,strict_backbone
皖浙赣前委第一次扩大会议,0,1,0,0,,,context_only
清廉运动,0,3,0,0,,,context_only
二打掘港,0,3,3,0,,,strict_backbone
化装设伏巧捕敌,0,2,2,0,,,strict_backbone
南京社会主义青年团章程,1,3,1,1,,,strict_backbone
中共德安县第一次党员代表大会,0,1,0,0,,,context_only
武装警察镇压事件,0,3,1,0,,,strict_backbone
南繁战役,0,5,2,1,,,strict_backbone
万铜丰县成立,0,3,0,0,,,context_only
雪花坳战斗,0,7,4,0,,,strict_backbone
红十军第一次入闽,0,8,1,0,,,strict_backbone
肃反路线,0,2,2,0,,,strict_backbone
建筑业民改体会与诉苦,0,3,0,0,,,context_only
参军抉择,0,1,0,0,,,context_only
征粮支前工作,0,12,2,0,,,strict_backbone
涪陵县中事件,0,3,2,0,,,strict_backbone
盐城战役,3,13,11,1,,,strict_backbone
芦东茆渡伏击战,0,2,2,0,,,strict_backbone
参军长征/浴血奋战,0,3,0,0,,,context_only
猫儿寨失利事件,0,2,0,0,,,context_only
如皋城战斗,0,6,0,1,,,context_only
独四师整训活动,0,5,2,0,,,strict_backbone
上海五九国耻纪念会,0,3,0,0,,,context_only
虎南大游击队成立事件,0,2,2,0,,,strict_backbone
反对征收糖捐运动,0,5,5,0,,,strict_backbone
北伐军援助活动,0,2,2,0,,,strict_backbone
敌后交通站,0,3,2,0,,,strict_backbone
组织赤卫队,0,2,1,0,,,strict_backbone
盐阜群众运动,0,3,1,0,,,strict_backbone
涪陵县农民协会成立大会,0,5,0,0,,,context_only
永胜罗瑛事变,0,3,0,0,,,context_only
第二次解救师宗县城,3,5,3,0,,,strict_backbone
开钟暴动,0,2,0,0,,,context_only
抗敌后援会与华蓥山统战,0,3,1,0,,,strict_backbone
湖北人民众抗敌宣传团第二队,0,3,0,1,,,context_only
蜀光校友会,1,6,2,0,,,strict_backbone
革命,7,38,12,0,,,strict_backbone
长岭寨战斗,1,5,2,0,,,strict_backbone
铅印活版印刷工人罢工,1,5,3,1,,,strict_backbone
士兵与学生运动忽视,0,1,0,0,,,context_only
暴动事件,2,27,17,0,,,strict_backbone
义卖活动,1,12,6,0,,,strict_backbone
中华民国学生联合会总会第七届全国代表大会,0,1,0,0,,,context_only
永绥游击队蒋永彬部政工队,0,2,0,0,,,context_only
南昌县农民协会成立,0,6,3,0,,,strict_backbone
古达剿匪,0,1,0,0,,,context_only
工人武装暴动,0,1,0,0,,,context_only
特务袭击事件,0,4,0,0,,,context_only
抢占县府,0,4,0,0,,,context_only
打破五次反围剿,0,3,1,0,,,strict_backbone
香炉山剿匪,0,2,2,0,,,strict_backbone
培养干部,0,6,0,0,,,context_only
梧凤场暴动,0,1,0,0,,,context_only
春耕生产与土改结合,0,3,0,0,,,context_only
湘黔边/长征途中,0,2,0,0,,,context_only
四望山暴动,0,1,1,0,,,strict_backbone
冬季大‘扫荡’,0,3,0,1,,,context_only
保山边防区基干团,0,2,0,0,,,context_only
牛家塘战斗,0,3,3,0,,,strict_backbone
中共崇宁县党组织领导的群众运动,1,4,1,0,,,strict_backbone
中秋暴动,2,21,10,0,,,strict_backbone
湘江战役突破第四道封锁线渡过湘江,0,3,0,0,,,context_only
徐家棚工人斗争,1,1,1,0,,,strict_backbone
苏北新四军围剿事件,0,3,0,1,,,context_only
坚守县城/清匪,0,1,1,0,,,strict_backbone
渡江南征,1,1,1,0,,,strict_backbone
个碧铁路运动,1,5,3,0,,,strict_backbone
蜀地之战,0,5,3,0,,,strict_backbone
党史征集,1,5,3,0,,,strict_backbone
第二次围剿,0,3,1,1,,,strict_backbone
杨家庄战斗,0,6,3,1,,,strict_backbone
剑川四·二暴动,5,14,9,0,,,strict_backbone
军事斗争思想检讨,0,2,1,0,,,strict_backbone
高虎脑战役,0,5,5,0,,,strict_backbone
羊场事件,3,19,9,1,1950-01-01,1950-12-31,strict_backbone
万源保卫战,2,23,14,1,,,strict_backbone
沙地练字/手把手教学,0,1,1,0,,,strict_backbone
罗河战斗,0,1,0,0,,,context_only
阵地防御战,0,2,2,0,,,strict_backbone
罗广文策反行动,0,1,1,0,,,strict_backbone
苏州解放,0,2,2,0,,,strict_backbone
武汉会战/抗战时期地下工作,0,3,3,0,,,strict_backbone
濉溪酒坊保护,0,4,0,0,,,context_only
保山瓦窑之战,0,1,0,0,,,context_only
攻克新集城,0,3,3,0,,,strict_backbone
淮南抗日义勇军大队,0,5,1,0,,,strict_backbone
各族代表会议,1,2,2,0,,,strict_backbone
抢米暴动,0,3,0,1,,,context_only
郎纳水三三暴动,0,1,1,0,,,strict_backbone
停止内战联合抗日谈判,0,2,0,0,,,context_only
五一总示威与红色五月计划,0,1,0,0,,,context_only
歼匪与缴枪,0,2,0,0,,,context_only
打土豪斗争,0,17,12,0,,,strict_backbone
反右倾斗争,0,4,1,0,,,strict_backbone
四化建设,1,8,4,0,,,strict_backbone
五里桥战斗,0,2,2,0,,,strict_backbone
红二、六军团在黔、大、毕扩红运动,0,1,0,0,,,context_only
清匪指示,0,1,0,0,,,context_only
调查研究,0,7,1,0,,,strict_backbone
向建水进军与狗街设防,0,5,4,0,,,strict_backbone
湘赣边区武装斗争,0,2,2,0,,,strict_backbone
皖南地区统战工作,0,1,0,0,,,context_only
五四纪念周活动,0,4,4,0,,,strict_backbone
剑川土共,0,3,0,0,,,context_only
全国职工运动讨论会,0,9,0,0,,,context_only
纺织工会会议与发展民间纺织,0,1,1,0,,,strict_backbone
夜袭田家滩战斗,0,2,2,0,,,strict_backbone
策反团防局,0,1,1,0,,,strict_backbone
儿童团组织,0,3,0,0,,,context_only
重庆镇压学生运动,0,3,0,0,,,context_only
武胜三派起义,0,2,2,0,,,strict_backbone
红三军转战鄂川边境,0,6,2,1,,,strict_backbone
反蒋武装斗争准备,0,1,0,0,,,context_only
会剿会议,0,1,0,0,,,context_only
救荒与反霸斗争,0,2,0,0,,,context_only
乐安县游击大队,0,2,2,0,,,strict_backbone
红十军政治工作,0,1,1,0,,,strict_backbone
雪凉合围、雷公山合围、盘山合围,0,0,0,0,,,isolated
十月革命飞行集会,0,2,0,0,,,context_only
保家乡运动,0,3,0,0,,,context_only
崇义暴动,0,2,2,0,,,strict_backbone
扩红/整编,0,0,0,0,,,isolated
反日反帝运动,0,3,0,0,,,context_only
双减政策,0,2,0,0,,,context_only
与南京反动政府谈判,0,2,0,0,,,context_only
沙磁区撤退行动,0,3,0,1,,,context_only
普洱县追梨河战斗,0,3,0,0,,,context_only
反饥饿学生运动,0,2,2,0,,,strict_backbone
讨论大会,0,1,0,0,,,context_only
十总店大屠杀,0,3,1,0,,,strict_backbone
荣县独立,0,8,6,0,,,strict_backbone
白枝母战斗与新城休整,0,5,5,0,,,strict_backbone
农民逃生团,0,7,1,0,,,strict_backbone
五四爱国运动,4,39,31,1,,,strict_backbone
清贫生活,0,3,1,0,,,strict_backbone
瓦屋塘战斗,0,2,2,0,,,strict_backbone
反对唐生智斗争,0,4,4,3,1920-01-01,1920-12-31,strict_backbone
凌机伏击战,1,5,3,3,,,strict_backbone
五里槐战斗,0,5,5,0,,,strict_backbone
朱总司令讲话,0,3,1,0,,,strict_backbone
武装建设经验,0,3,0,0,,,context_only
恢复工作,0,3,0,0,,,context_only
川东游击军序列,0,8,0,0,,,context_only
东兰惨案,0,2,2,0,,,strict_backbone
新四军改编事件,0,3,0,0,,,context_only
抗日救亡宣传运动,1,5,2,0,,,strict_backbone
抗大九分校一大队,0,10,0,0,,,context_only
星子农民暴动,4,6,6,0,,,strict_backbone
秋收减租运动,0,1,1,0,,,strict_backbone
桐梓赤卫队,0,2,2,0,,,strict_backbone
战斗/病故/牺牲,0,2,0,0,,,context_only
清水寨暴动,6,29,15,0,,,strict_backbone
武装抗捐斗争,1,17,11,0,,,strict_backbone
军阀混战围攻,0,3,3,0,,,strict_backbone
《关于目前形势与斗争方针的指示》,0,2,0,0,,,context_only
将军坡高地战斗,0,1,0,0,,,context_only
统战政策运用,0,6,0,0,,,context_only
五卅惨案纪念会,0,1,0,0,,,context_only
隐蔽活动,1,4,2,1,,,strict_backbone
万户庄突围,0,6,1,1,,,strict_backbone
《反三征》,0,3,0,0,,,context_only
预借公粮,0,1,0,0,,,context_only
剿匪反霸斗争,1,40,9,1,1950-01-01,1950-12-31,strict_backbone
群众政治斗争,0,3,0,0,,,context_only
王光泽牺牲,0,5,1,0,,,strict_backbone
落孔战斗,0,1,0,0,,,context_only
淮南津浦路西抗日民主政权,0,2,0,0,,,context_only
赤卫军动员体系,0,3,0,0,,,context_only
金沙江渡江战役,1,6,4,0,,,strict_backbone
逆产案件处理/房屋租赁管理,0,3,1,0,,,strict_backbone
皖西剿匪,0,3,0,1,,,context_only
反蒋武装暴动,0,3,0,0,,,context_only
攻城打援战斗,0,4,4,0,,,strict_backbone
跃马坎战役,0,3,1,1,,,strict_backbone
反帝反军阀运动,0,5,3,0,,,strict_backbone
华中分局改组为华东局,1,4,2,0,,,strict_backbone
第四、第五次反‘围剿’斗争,0,0,0,0,,,isolated
南腰界胜利会师,1,2,2,0,,,strict_backbone
夏征任务,0,2,1,0,,,strict_backbone
接管施秉县城,0,1,1,0,,,strict_backbone
青岩战斗,0,3,3,0,,,strict_backbone
鄣公山会议,0,3,0,0,,,context_only
东山敌伪顽匪活动,0,3,0,0,,,context_only
攻打没口围防局,0,1,1,0,,,strict_backbone
川滇黔边区革命活动,0,1,0,0,,,context_only
百色起义,9,25,21,0,,,strict_backbone
襄阳学潮斗争,0,2,2,0,,,strict_backbone
北伐军进徽州与工农运动,0,3,1,0,,,strict_backbone
纪念孔子诞辰集会,1,4,2,0,,,strict_backbone
干部训练,0,7,3,1,,,strict_backbone
泾县滩坑扩大会议,0,3,1,0,,,strict_backbone
梵净山合围,0,3,0,0,,,context_only
国民党黔阳县第一届代表大会,0,3,1,0,,,strict_backbone
浪河口伏击战,0,3,2,0,,,strict_backbone
罢教行动,1,4,1,0,,,strict_backbone
地下新闻斗争,0,3,0,0,,,context_only
支援、前线运动,0,1,1,0,,,strict_backbone
江津和平解放,1,13,8,0,1949-01-01,1949-12-31,strict_backbone
禁毒第二阶段集训坦白,0,2,0,0,,,context_only
大会结束与献花致敬,0,1,0,0,,,context_only
第二次解放沿河,0,2,2,0,,,strict_backbone
'一二·一'学生爱国运动,0,5,1,0,,,strict_backbone
海田游击大队,0,30,0,0,,,context_only
牛栏前会议,0,1,1,0,,,strict_backbone
惠水涟江灌溉工程,0,3,1,0,,,strict_backbone
抗租斗争,0,6,2,0,,,strict_backbone
二十八,0,1,0,0,,,context_only
恢复党组织斗争,0,2,2,0,,,strict_backbone
大义灭亲除汉奸,0,4,1,0,,,strict_backbone
解放大西南战斗,0,3,0,0,,,context_only
斗争违法地主,0,3,0,0,,,context_only
太湖剿匪,0,3,1,0,,,strict_backbone
剿匪收枪,0,4,1,0,,,strict_backbone
寻找游击队联络,0,3,1,0,,,strict_backbone
三民社,1,13,6,0,,,strict_backbone
反内战、反迫害、反饥饿学运,0,1,0,0,,,context_only
涪陵四镇乡农民运动,1,5,2,0,,,strict_backbone
劳动童子团,0,3,1,0,,,strict_backbone
政治会议,0,2,2,0,,,strict_backbone
苦桃井-狗场战役,0,3,0,0,,,context_only
深入发动群众,0,1,0,0,,,context_only
长途运输支前,0,8,4,0,,,strict_backbone
社会主义革命和建设时期,0,3,2,0,,,strict_backbone
万县惨案反英斗争,0,4,4,0,,,strict_backbone
湘西围剿军,0,1,0,0,,,context_only
游击队第十三支队成立事件,0,2,0,0,,,context_only
拉丁化新文字推广运动,0,2,2,0,,,strict_backbone
组织财政收入,0,2,0,0,,,context_only
书写保护雇工权益标语,0,4,2,0,,,strict_backbone
第三次反‘围津’斗争,0,1,0,0,,,context_only
廖塘桥伏击战,0,2,2,0,,,strict_backbone
扫荡金坛之敌,0,1,0,0,,,context_only
江苏省临时军法会审处,0,3,0,0,,,context_only
设立野战医院,0,2,0,0,,,context_only
中国革命运动史,0,3,0,0,,,context_only
金坡乡土匪袭击事件,0,2,0,0,,,context_only
五·二〇学生活动,0,1,0,0,,,context_only
昆明县农民运动,0,7,7,0,,,strict_backbone
学生集会规定,0,3,0,0,,,context_only
反对邓学生斗争,0,3,0,0,,,context_only
九江社,1,1,1,0,,,strict_backbone
农运/工运,0,0,0,0,,,isolated
徐州国民党右派进攻,0,2,2,0,,,strict_backbone
书写标语,0,3,0,0,,,context_only
镇抚起义,0,3,0,0,,,context_only
浙东行署,0,2,0,0,,,context_only
青救团万人大会,0,2,2,0,,,strict_backbone
开远反三征斗争与武工队组建,0,1,0,0,,,context_only
创进社(C·T),0,3,0,0,,,context_only
解放青海,0,1,0,0,,,context_only
新桥区委(一区区委)成立,0,1,0,0,,,context_only
春耕竞赛,0,2,2,0,,,strict_backbone
发行华中货币,3,6,3,0,,,strict_backbone
盐工运动,0,2,2,1,,,strict_backbone
重庆五·三惨案,0,2,2,0,,,strict_backbone
六条协定,0,3,0,0,,,context_only
重庆撤退行动,0,1,0,0,,,context_only
宣威兔场游击大队,0,6,0,0,,,context_only
王集区队,0,1,0,0,,,context_only
钢厂事件,0,7,0,0,,,context_only
七·四农暴,0,1,1,0,,,strict_backbone
重安江战斗,0,1,0,0,,,context_only
读报组,0,3,0,0,,,context_only
四中全会,0,14,1,0,,,strict_backbone
抗日游击战争准备,0,3,0,0,,,context_only
九游政工队,0,4,0,0,,,context_only
围城打援战,0,2,0,0,,,context_only
正式代表会议,0,1,0,0,,,context_only
花沟集战斗,0,3,0,0,,,context_only
江北重城解放,0,6,2,0,,,strict_backbone
陈家寨战斗,0,1,0,0,,,context_only
联亲联族寨联寨,0,3,0,0,,,context_only
土匪暴乱/组织联防,0,2,0,0,,,context_only
抗战后援会,2,8,3,1,,,strict_backbone
鲁迅读书会,0,5,3,0,,,strict_backbone
英山高家冲战斗,0,1,0,0,,,context_only
锄奸治保,0,3,1,1,,,strict_backbone
华容解放,0,1,0,0,,,context_only
沙溪王东阁战斗,0,2,2,0,,,strict_backbone
江阴封锁日舰事件,0,2,2,0,,,strict_backbone
边打边退至老堡湾防守,0,2,2,0,,,strict_backbone
思想教育运动,0,3,0,1,,,context_only
公债券发行,0,9,2,0,,,strict_backbone
江华农民运动,1,8,8,0,,,strict_backbone
清匪运动,1,25,14,1,,,strict_backbone
解放黟城行动,0,3,3,0,,,strict_backbone
许秀英护理伤员,0,1,1,0,,,strict_backbone
登步岛登陆作战,0,1,0,0,,,context_only
牛头山战斗,0,5,2,1,,,strict_backbone
江浦地区抗日斗争,0,3,0,0,,,context_only
孙绍武败退,0,1,0,0,,,context_only
海海战役,0,6,0,0,,,context_only
苏常太清乡斗争,0,3,0,0,,,context_only
平察乡对敌斗争,0,4,0,0,,,context_only
春季暴动,0,3,1,0,,,strict_backbone
虹桥起义,0,3,0,0,,,context_only
黎平县会议学术讨论会,0,3,0,0,,,context_only
长征过黔,0,1,0,0,,,context_only
民盟四中全会,0,5,2,0,,,strict_backbone
边界党活动,0,4,0,0,,,context_only
武汉工团成立,0,1,0,0,,,context_only
九江县苏区政权建立,0,6,1,0,,,strict_backbone
皖南事变反扫荡,0,2,2,0,,,strict_backbone
纳雍垭口苗族民兵队伍,0,2,2,0,,,strict_backbone
解放黄平与保卫山凯,0,3,0,0,,,context_only
罗平县解放斗争,1,2,2,0,,,strict_backbone
四好连队建设,0,1,0,0,,,context_only
木机纺纱社,1,10,4,1,,,strict_backbone
民主革命统一战线,0,2,0,0,,,context_only
老鸡厂设伏战斗,0,1,0,0,,,context_only
三轮车工人罢工,0,5,2,0,,,strict_backbone
解放剿匪,0,1,1,0,,,strict_backbone
学生运动/阅读进步书籍,0,1,1,0,,,strict_backbone
剿匪斗争总结/阶级大搏斗,0,6,0,0,,,context_only
四一后援会与学生游行,0,3,3,0,,,strict_backbone
反蒋自卫战争,0,1,0,0,,,context_only
鸡场战斗,0,7,2,0,,,strict_backbone
全面反驻剿,0,1,0,0,,,context_only
红军政治工作会议,0,5,0,1,,,context_only
军火准备,0,2,0,0,,,context_only
警管区制,0,3,0,0,,,context_only
借粮济贫运动,0,6,2,1,1927-01-01,1927-12-31,strict_backbone
新街农民暴动,0,2,2,0,,,strict_backbone
金塘岛解放,0,5,0,0,,,context_only
太行山抗大总校,0,2,0,0,,,context_only
九棵树会议,0,1,1,0,,,strict_backbone
"对私改造五, 0小组",0,1,0,0,,,context_only
衡山策反行动,1,1,1,0,,,strict_backbone
甘竹乡自卫连,0,6,1,0,,,strict_backbone
贵州解放前夕,0,3,0,0,,,context_only
十八军改编,0,3,0,0,,,context_only
"""九·九""会议",0,3,0,0,,,context_only
峨山县甸中解放区,0,2,0,0,,,context_only
扩大群众运动,0,1,0,0,,,context_only
台山惨案,0,3,0,0,,,context_only
编演宣传剧目,0,2,2,0,,,strict_backbone
接受阻击任务/掩护渡江,0,2,0,0,,,context_only
灵山寨脚战斗,0,3,0,0,,,context_only
马关县八寨农民武装暴动,0,5,5,1,1927-01-01,1927-12-31,strict_backbone
黔东北会剿,0,1,1,0,,,strict_backbone
土桥农民武装暴动,0,4,3,0,,,strict_backbone
补习班活动,0,2,2,0,,,strict_backbone
小发召会议,1,16,11,1,,,strict_backbone
三路进攻,0,3,1,0,,,strict_backbone
《孩子剧团》,0,2,2,0,,,strict_backbone
黔东南剿匪斗争,0,3,1,0,,,strict_backbone
红三军肃反运动,0,6,1,0,,,strict_backbone
一二·九运动波及蚌埠,0,1,1,0,,,strict_backbone
大革命时期工青妇组织活动,0,3,1,0,,,strict_backbone
八·一三农民暴动,0,3,1,0,,,strict_backbone
党的第二次全国代表大会,0,1,1,0,,,strict_backbone
收缴民枪工作,0,1,0,0,,,context_only
土地斗争,1,16,5,0,,,strict_backbone
鄂豫皖反围剿斗争,1,5,4,0,,,strict_backbone
‘四抗’斗争,0,1,1,0,,,strict_backbone
筹组校董会办理立案,0,1,0,0,,,context_only
苏州洞庭西山农民抗租斗争,0,2,2,0,,,strict_backbone
云南边区解放斗争,0,4,4,1,,,strict_backbone
突破最后封锁线政治动员,0,1,0,0,,,context_only
豆叩寺叛乱,0,4,1,0,,,strict_backbone
川北游击纵队司令部成立,0,2,2,0,,,strict_backbone
綦江县反帝反封建斗争,0,6,3,0,,,strict_backbone
清江会议,0,3,1,0,,,strict_backbone
北伐军攻克长沙,0,6,4,0,,,strict_backbone
平反昭雪,1,5,2,0,,,strict_backbone
"设宴招待撮科敌军官,席间将其劫持,以武力强迫其下令缴械投降。以此拉开武装斗争序幕",0,1,0,0,,,context_only
新政治协商会议筹备会,1,5,2,0,,,strict_backbone
黄陂桥战斗,1,2,2,0,,,strict_backbone
反富农路线斗争,0,6,5,0,,,strict_backbone
昭通学生爱国联合会,1,9,1,0,,,strict_backbone
反彭斗争,1,12,7,1,,,strict_backbone
砖桥乡土改试点,0,5,2,0,,,strict_backbone
澧一文化社,0,6,1,0,,,strict_backbone
整党建党工作,1,5,1,0,,,strict_backbone
克浪游击队成立事件,0,2,2,0,,,strict_backbone
清党行动,0,1,1,0,,,strict_backbone
土地革命/反苛捐杂税宣传,0,1,0,0,,,context_only
苏皖地区反顽战线,0,2,2,0,,,strict_backbone
游击队人员认定与待遇落实,0,2,0,0,,,context_only
德泽大桥战斗,0,1,0,0,,,context_only
中国国民党第一次全国代表大会,0,4,1,0,,,strict_backbone
运河堤抢修,0,3,0,0,,,context_only
游击队斗争,0,3,2,0,,,strict_backbone
远征湖北会师武汉,1,8,4,0,,,strict_backbone
群众工作方式教育,0,5,2,0,,,strict_backbone
自流井盐场工人大会罢工,0,3,3,0,,,strict_backbone
清理恢复组织与发展党员,0,2,2,0,,,strict_backbone
华坪武装起义,0,3,0,0,,,context_only
南芜游击队第四中队,0,1,0,0,,,context_only
罗广文军清剿,0,3,0,0,,,context_only
四·一·二分区集会游行,0,2,0,0,,,context_only
夜袭沿埠头,0,3,1,0,,,strict_backbone
民兵发展收买与抓丁现象,0,6,3,0,,,strict_backbone
赣东北五县共产党员会议,2,2,2,0,,,strict_backbone
中共汉寿县委成立,0,1,0,0,,,context_only
解放西南胜利纪念章,0,3,2,0,,,strict_backbone
分配机动田,0,5,1,0,,,strict_backbone
新干妇女训练班,0,2,2,0,,,strict_backbone
军队与党的组织系统建设,0,1,1,0,,,strict_backbone
土匪搜查与乡公所审讯,0,4,1,0,,,strict_backbone
永丰龙岗歼灭战,0,3,3,0,,,strict_backbone
郭辛白,0,1,0,0,,,context_only
解放金沙战斗史,0,2,2,0,,,strict_backbone
石屏解放,0,1,1,0,,,strict_backbone
陆良武装暴动准备,0,1,0,0,,,context_only
青阳镇青年抗敌协会成立,0,1,0,0,,,context_only
人民政府剿匪行动,0,2,0,0,,,context_only
缅宁城整训,0,6,0,0,,,context_only
立煌妇抗,0,3,1,1,,,strict_backbone
元谋解放,0,2,2,0,,,strict_backbone
马街缴枪,0,3,2,0,,,strict_backbone
粉碎五次‘围剿’,0,16,6,2,,,strict_backbone
无线电训练班,0,2,0,0,,,context_only
护国战争,0,3,1,1,1915-01-01,1915-01-31,strict_backbone
排衅游击大队,0,2,0,0,,,context_only
红十六师与红十七师会合,0,3,1,3,,,strict_backbone
抗日自卫大队,1,5,3,0,,,strict_backbone
綦江国民外交后援会筹备处,0,1,0,0,,,context_only
合川第一届县委成立,0,3,2,0,,,strict_backbone
淮泗参军运动,0,3,0,0,,,context_only
大良田会议,0,1,1,0,,,strict_backbone
入滇行动,0,1,0,0,,,context_only
长江航权斗争,0,3,0,0,,,context_only
五四运动纪念活动,2,20,11,1,,,strict_backbone
工人运动部,0,1,0,0,,,context_only
水郎盛合围战,0,9,5,1,,,strict_backbone
反扫荡战役,0,20,3,2,,,strict_backbone
党籍恢复介绍,0,2,2,0,,,strict_backbone
四·二八暴动,0,2,2,0,,,strict_backbone
安庆解放,2,6,4,0,,,strict_backbone
成立赣南行委,0,3,1,0,,,strict_backbone
江南铁路破坏行动,0,2,2,0,,,strict_backbone
志愿军入朝参战,0,2,1,0,,,strict_backbone
方家坪反动会道门围歼战,0,5,3,1,,,strict_backbone
抗击溃军,0,3,0,0,,,context_only
流动供应/建立支店,0,2,2,0,,,strict_backbone
劳资仲裁与罢工斗争,0,1,1,0,,,strict_backbone
粉碎敌人五次‘围剿’,0,2,2,0,,,strict_backbone
设立大众饭店,0,8,4,0,,,strict_backbone
六师反顽斗争,0,3,0,0,,,context_only
红军第一次全国政治工作会议,0,2,0,0,,,context_only
斗争形式,0,1,0,0,,,context_only
盘北地区斗争,0,4,4,1,1948-01-01,1948-12-31,strict_backbone
戴埠战斗,0,5,3,1,,,strict_backbone
镇远抗日救亡活动,1,2,2,0,,,strict_backbone
耿吴刘叛变,0,3,1,0,,,strict_backbone
过江工作总结,0,2,0,0,,,context_only
《武汉人民解放先锋队队章》,0,3,1,0,,,strict_backbone
耿马战役,0,10,3,0,,,strict_backbone
树旗成立武装,0,1,0,0,,,context_only
纪念俄国十月革命4周年大会,2,2,2,0,,,strict_backbone
滨海大队,0,6,0,0,,,context_only
南漳县战时教育工作促进团,0,3,0,0,,,context_only
鄂西游击战,0,3,0,0,,,context_only
鄂豫皖第二次反‘围剿’,0,4,2,0,,,strict_backbone
蔡江县委成立,0,18,2,0,,,strict_backbone
大柏地战役,0,3,0,0,,,context_only
战备动员/扩军训练,0,1,0,0,,,context_only
极左主义,0,11,1,0,,,strict_backbone
