主体ID,主体名,主体类型,谓词,客体ID,客体名,客体类型,省份,时间
IENT-3477ad73dbe8f5e444e8d85f,进攻昆明的李弥部队,Organization,fought_at,IENT-56f186fe5a5df03154923bbc,蒙自,Place,,
IENT-6b64122182fbe596e262dd38,庐山会议,Event,occurred_at,IENTREPAIR-0e6970ff902ae5ccdba5fcba,江西,AdministrativeRegion,江西省,1959-07-01
ITOPIC-59f4b0f5afd5b0f4ec311723,小主人,CreativeWork,mentioned_in,ITOPIC-b756d3d5d4d6b95fafe0b42d,合川党史资料汇编 第1辑_12010790 (2),Document,,
IENT-f201e6ebca00c16dc9f31f51,红二团,Organization,stationed_at,IENT-1f58ed133562a00ac63fe1f0,石寨场,Place,,
IENT-4a46eb8fb5e607b95511bcb2,周龙凤,Person,active_at,IENT-de6430d104bb119de79d8431,古饶集,Place,,
IENT-67ff09e3445cfe79599d6ac4,石坚,Person,created,IENT-d6d8be7ffa7df850d3959e4f,芦溪中心党支部,Organization,,
IENT-2ad3348550460a52b44ec64f,张英,Person,opposed,IENT-3279296303f4ea06d144c1fb,红枪会,Organization,,
IENT-94780b6bb9ac23ba23f35720,吴通明,Person,participated_in,IENT-0d9bd59af88fa5eb1cabf829,四化建设,Event,,
IENT-8ddec44566c0a60bc1bcc04e,七连,Organization,dispatched,IENT-62c3d493c56c0eeb61825391,嘉波县人民政府机关,Organization,,
IENT-fc8de45e0b3eabfe55ae7c7a,红三军教二师,Organization,active_at,IENT-0601adfc8c04304109ac783d,巴兴归苏区,Place,,
IENT-12f2de10e0ad6b71a7ab3efb,邓培,Person,participated_in,IENT-8136ddb956a8cb750c603b7a,第二次全国劳动大会,Event,,
IENT-5790d674d6b65043148c30aa,卢德铭,Person,led,IENT-bef4e11cd05f0d0c25512371,秋收起义,Event,,1927-08-01
IENTREPAIR-84468c719fa52b4d4f008369,熊开清,Person,responsible_for,IENT-7c96f48362056f0a8e450c60,人民临时委员会,Organization,,
IENT-ff6719f2ef2e053c48af5162,农民协会,Organization,organized,IENT-dea964f08c9f0088dcf22d6a,人民政权,Organization,,
IENT-7051034433e2477428fad7ce,侯教之,Person,participated_in,IENT-69e35381ab6ecd1ed6adf05c,黔东事变,Event,,
IENT-5f367ca744a93f29000806a6,红军,Organization,participated_in,IENT-b5a1bb6072e162e3490592a4,土地革命,Event,,1927-08-01
IENT-8327d3a1577b179696fe5125,毛泽东,Person,led,IENT-321d223878333b7d86d484eb,韶山特别支部,Organization,湖南省,1925-01-01
IENT-53b7cd8dcd954eaa31c8bea4,邓中夏,Person,active_at,IENT-c53a6e9e948913912a9cbad5,洞庭湖,Place,,
IENT-31142bc7b368f3f27a8cbfcb,皖浙赣省委,Organization,active_at,IENT-384b880008915f833b155805,鄣公山,Place,,
IENT-f6f5877662c59224dfae81e0,陈以文,Person,led,IENT-11c06af37bd2364d42796367,四、五十人起义,Event,,
IENT-5340ecebdb8fb2f50d62514d,朱亚凡,Person,participated_in,IENT-9bbb05d3d6411ecdf35354d1,抢米事件,Event,,1940-03-01
IENT-7d0cc30558e6d8f3348d4387,一四九团,Organization,stationed_at,IENT-0d3be24d20e973c489296455,三穗县,Place,,
IENT-62bf8ca5998b8350907091c2,党训班,Event,occurred_at,IENT-4d5ada4f2ae4c700bd409fdb,合川,Place,,
IENT-591a50cd9312ddfbaa682c43,邵凤祥,Person,worked_at,IENT-d4c9157b59c3516d2446b015,江源村,Place,,
IENT-6f421848aa22026e04586a35,春荒抢米斗争,Event,occurred_at,IENTREPAIR-363770c5c18e92169d490906,安庆,AdministrativeRegion,,
IENT-167a57a50b11f3e7e30d3cf0,杨子远,Person,participated_in,IENT-15d2dbbfc6800d7dc1c7fc18,短期干部训练班,Event,,
IENT-fbd430c123eab52d7dfbf682,王香雄,Person,led,IENT-8dc56cfc1421ce50b5e4c01a,独立二团,Organization,,
IENT-05b852834b15afb7e5f7a7e6,刘岳林,Person,held_position_in,IENT-2fce4c1927037e671b32919d,关桥区农民协会,Organization,,1927-01-01
IENT-63ff4e250e1c0dd913c55bf6,郑位三,Person,held_position_in,IENT-e71e55f7b5dd99b76dded7ec,鄂东特委,Organization,,
IENT-3a88ac438bcf617db310622c,陈克祥,Person,led,IENT-610fa236210932d54f412844,学生自治会,Organization,,
IENT-acd1611fb7da44c2b7e81e19,中央文化教育建设大会,Event,occurred_at,IENTREPAIR-0e46da99cd90ad094d574862,瑞金,AdministrativeRegion,江西省,
IENT-d6ec7d1bb57fec484e1963ee,刘光,Person,guided,IENT-0a88658fd6f4f4dc0e4e3276,王敏,Person,,
IENT-59697977385d098fc6063d56,何启泉,Person,led,IENT-8e3d92db34e3c1eb1f1cf741,信河特委,Organization,,
IENT-a4aea0624dcd2a413cc50f6b,钟文才,Person,active_at,IENT-4a9c7731ec94dbbba82faffc,紫云县宗地杨寨,Place,,
IENT-75798019bb5de5dff6ad050e,李鑫,Person,led,IENT-53509c566ae74a5fe97177b6,中共云南省特别支部委员会,Organization,云南省,1926-01-01
IENT-3a03f9e4aebb74dc2d01312c,韩秉炀,Person,active_at,IENT-28382c190bb0b12b64b6f6ac,宜宾,Place,,
IENT-4351efd707a820ac7a5a0ca1,赵炳贤,Person,active_at,IENT-e27693280e657ac803833702,孝泉场,Place,,
IENT-44d655ef551fbe441693984f,万年县委,Organization,dispatched,IENT-a1690e7d6d911ef6d428d840,方桂荣,Person,江西省,
IENT-b68e5c15109c1cf1b01817d6,殷禄才,Person,member_of,IENT-c1b05b65d1cfdb95842ca010,云南支队,Organization,,
IENT-a9603e45c8f3855a9273adb3,朱道煌,Person,led,IENT-dfdcf6de8b238a5d51c17755,省立二中学生运动,Institution,,
IENT-dd514844a954d6c3f134cce3,聂荣臻,Person,participated_in,IENT-525ff6b7c86296c91e357c10,赴法勤工俭学,Event,,
IENT-9f303c277a23e9987d69c17f,周建屏,Person,held_position_in,IENT-e38cdb8286650c69a9131e03,江西红军独立第一团,Organization,江西省,1927-08-01
IENT-2469652c8cc92e477adcd480,贵州游击支队,Organization,contacted,IENT-f0013d0e3453802a20e78330,唐昌,Person,,
IENT-b75d0b5a14f8929310319e7d,张汉权,Person,contacted,IENT-29f272158b84bfd8a1020be5,戴联军省籍干部第一旅张中立部队,Organization,,
IENT-7f57a6b70aee5084a0daa25a,夏正寅,Person,supported,IENT-8ede4708a9c6bb51eb6a3a7c,四川旅外剧人抗敌演剧队,Event,,
IENT-a0c081e2b265fe6fe6cfc78b,万安暴动,Event,occurred_at,IENTREPAIR-0e6970ff902ae5ccdba5fcba,江西,AdministrativeRegion,江西省,
IENT-de65ecc420f7914387abc2bd,李健,Person,led,IENT-38068ffd69fb779119834d3e,正大文法学院小组,Institution,,
IENT-e1c92ef8e90b067e6ce3cd08,红二军团,Organization,active_at,IENT-78ef68f2acad600fcbee4f1e,永顺,Place,,
IENT-3990347487babd3121598f48,胡梓,Person,held_position_in,IENT-e71e55f7b5dd99b76dded7ec,鄂东特委,Organization,湖北省,
IENT-eb73af9c3126c75a4403cb55,周兴仁,Person,organized,IENT-6eff89c09bc0008849bc1a40,马列主义学习小组,Event,,
IENT-61b6830807292a92b4fb1dcb,杨诗书,Person,responsible_for,IENT-362d82a5ce50259ae29d2cac,安顺县,Place,,
IENT-0ff37b0554d99e54044aced9,赵礼生,Person,active_at,IENTREPAIR-3bc85850d34785866d3e678c,开化,AdministrativeRegion,,
IENT-44761f1eeb3034d5686312fc,林友礼,Person,active_at,IENT-d7b87b0a3a75720bacb72f79,松烟,Place,,
IENT-f2169215095f94a5c662d499,刘少奇,Person,participated_in,IENT-d71372a86cdf43c0d8c02c57,苏南工作部署,Event,,
IENT-5b0e2650c8c6390700634658,林植夫,Person,member_of,IENT-dfd686832f4171ce626ff4a0,新四军,Organization,,
IENT-18056cb40c0d0a06e655ae46,黄火星,Person,active_at,IENT-d0ab86a1a029df4625fbfbd0,闽西南,Place,,
IENT-8bcb463cba7505bb0d5e2ab6,方志敏,Person,organized,IENT-744ae2290a1e380eb77b416d,皖南独立团,Organization,,
IENT-b6f9527c72f593ce160032a5,上级党委,Organization,guided,IENT-2bceab8fba9d003181c65aac,支前工作,Event,,
IENT-3a3aecff546fb7e56ff451ff,甘祖昌,Person,born_at,IENT-a2df329353807eae9c0bd8e0,江西省莲花县,Place,,
IENT-1e1c42bb57722e100a6f855a,张崇义,Person,stationed_at,IENT-79cd340278819611b63c3e2a,元谋马头山,Place,,
IENT-1a07effefb7f859e13f783e0,赖兴元,Person,supported,IENT-5f367ca744a93f29000806a6,红军,Organization,,
IENT-8327d3a1577b179696fe5125,毛泽东,Person,responsible_for,IENT-8d163dd6cfa8d2e20f868d6b,沙田,Place,,
ITOPIC-b99acc8bc80c86fa793fff4d,三峡精神,Spirit,has_value_facet,ITOPIC-8088c5adfd70697756a36551,志存高远,ValueFacet,,
ITOPIC-6c12fe9710d1eb248fbdd5f1,湘鄂西苏区精神,Spirit,has_value_facet,ITOPIC-edac191681e5bdbf73ce6430,无私奉献,ValueFacet,,
IENT-d8a2862f73e07d29a97ac954,李友松,Person,participated_in,IENT-f1f991c74efb2142dbe1f418,平武山防队起义,Event,,1949-01-01
IENT-564a52194c419d6c1517f87f,沈育宁,Person,organized,IENT-978e37b5d37450b167bd9d68,红军长江上游第二特遣师,Organization,,1927-08-01
IENT-e1398c730aa01a870ae157c9,何现龙,Person,active_at,IENTREPAIR-061ad04d9541764ebf8bfd6e,泸西,AdministrativeRegion,,
IENT-ed5b059fe96124744fd754bf,史章兰,Person,contacted,IENT-646457ae87485cf8c7c8a1f7,熊兆仁,Person,,
IENT-9d2c9da3333dcaa3b57ada84,二铺战斗,Event,occurred_at,IENTREPAIR-382ea3e3683798b42c4123dd,宿县,AdministrativeRegion,,
IENT-d2ef0f347c0a7796bcf71d97,宋维静,Person,reported_to,IENT-5c900797469d2184af8acd49,川康特委,Organization,,
IENT-5fccaffc7242d3a9ebcc5dd1,王本鉴,Person,organized,IENT-c49009eb41b1d9687ff06b0e,青年联谊会,Event,,
IENT-63e82e0713084eaa5f170b2f,王志亮,Person,active_at,IENT-7eada161f28590b643e6312a,华蓥山,Place,,
IENT-e1d5174dac38e2e945b384a1,红三方面军,Organization,captured,IENT-d86ab00d1c2e7cf3cd733b16,乐山,Place,,1927-08-01
IENT-2e32d0b80829a32fa28bcf55,李绳祖,Person,led,IENT-eb07462adb38bf38bfbc1d2e,南昌市中等以上学校学生联合会,Institution,,
IENT-a381defee08cd9def0aa8dd2,张其德,Person,active_at,IENTREPAIR-679b5913d68de30a6582081f,弋阳,AdministrativeRegion,,
IENT-e5b62a86c070e4c09180df61,张云逸,Person,led,IENT-8f2755d1b3c98dec80ceb7d3,红七军,Organization,,
IENT-d229c4819270fba2b7e59201,朱德,Person,participated_in,IENT-80d8880c72cafb68e496ff65,自卫战争,Event,,1945-08-16
IENT-87d5d997e3f070a47863d4a5,杨淑华,Person,worked_at,IENT-92218e3970881edc6e344003,统景场,Place,,
IENT-67e17aa35414f92fcb84725f,张乾,Person,supported,IENT-2f84cb2131444550f421b23f,晏祖燮,Person,,
IENT-e1c0efe77631f40bdec7369b,万平,Person,collaborated_with,IENT-a2f2d50d79a80d51428e02b5,濮文昶,Person,,
IENT-bcfa0765317fa6d7d64739dd,王伦超,Person,stationed_at,IENT-5f7f0c0b072dc32b690f6f58,马龙县六乡,Place,,
IENT-1a727bbd1549d4da5d35df5c,中共马龙县特支,Organization,organized,IENT-18d42e9e874db845bca37d13,马龙游击大队,Organization,,
IENT-44d53b9abd474f27e8967646,胡竹笙,Person,active_at,IENT-23284b00f654d3ce533923c2,宁都、南、宜边界,Place,,
IENT-c06593936c1fc8b76ec77983,杨森奎,Person,commanded,IENT-1488357fdad30159e2357172,四连担任后卫掩护,Event,,
IENT-1d97d5296e4ed9c5d28abb8e,周恩来,Person,led,IENT-b2c68f595ee16d1ea90b5672,铁甲车队,Organization,,
IENT-8327d3a1577b179696fe5125,毛泽东,Person,organized,IENT-345bde205e4e98717775b764,柏露会议,Event,,
IENT-53b83e3d62f64bb628754bb0,布告,Document,documents,IENT-abe41445686c5ff233c74a04,抗日救国政府,Organization,,
IENT-b0e38c4d20dff4d4ca1ef18d,谭川,Person,active_at,IENT-3447cfe607144233ba8f45d1,关统佐堂,Place,,
IENT-c7610289804f5544b02707de,余海清,Person,held_position_in,IENT-7238abdb082d62699dba1a7e,人民自卫军永水边区事务指挥部,Organization,,
IENT-c88c20bddc3016092913dc05,赵万里,Person,organized,IENT-8ca6ef3d6faaf2de430b0296,游击队,Organization,,
IENT-815045b4d441489b70b8e12b,李承华,Person,active_at,IENT-28de0cccad7bb98d3b6706fe,龙海山区,Place,,
ITOPIC-22b8eebfb120658127b82403,红军过草地精神,Spirit,has_value_facet,ITOPIC-bbb9142c5f7194f9e310ec3c,不怕牺牲,ValueFacet,,
IENT-ba724d13218ae499f641a9ed,谭政,Person,participated_in,IENT-bef4e11cd05f0d0c25512371,秋收起义,Event,,1927-08-01
IENT-7817d4dce2db66e0a2ab7567,李炳奎,Person,active_at,IENT-eb3159e9f4e86320a4580796,江北县,Place,,
IENT-50135f1f03fddcacffc76e1d,赵利群,Person,collaborated_with,IENT-e457c954c9a72632bc54f1f7,蔡洪兴,Person,,
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,Event,occurred_at,IENT-c54b83a63894aa8f9c8dd145,湘赣边界,Place,,
IENT-d24e87ab841bc836668d4e27,中共中央中南局,Organization,member_of,IENT-79c8ebeb158116d38c1ab052,中南军区,Organization,,
IENT-f5107acc085b693f3d358b47,董维健,Person,participated_in,IENT-be4ce3dd8df92fae053fba05,自由大同盟,Event,,1930-01-01
IENT-c168596040a52e51102e38ad,林茂成,Person,member_of,IENT-d724e1d9838b79db88bec9ce,八路军,Organization,,
IENT-e41218333262196c701838c0,赵锋心,Person,active_at,IENT-0764b5a4be23878939ea92cf,青浦县,Place,,
IENT-d7756f3e52fb68ad3f874121,前委,Organization,organized,IENT-2d62310cb222b4a39fece730,桂滇黔边纵队第4支队,Organization,,
IENT-80983d466b13fadee0404889,四渡赤水,Event,occurred_at,IENT-cecb111a3b6b0b1ef5a0d6d5,乌江,Place,,
IENT-7aecaeb97bd27f3cc1394fb4,合川国民师范学校,Institution,organized,IENT-25b22cb40984e28d68108b0e,党支部,Organization,,
IENT-3214da406e20dd1d041adec9,龙松泉,Person,held_position_in,IENT-71dfff937e7c8d6c5edc5ad6,临江五师,Organization,,
IENT-e8da2ea55ce30afa2e036dd5,担架团,Organization,participated_in,IENT-af52375898e98b9ace93862a,复员,Event,,
IENT-27a553f827346eca73830bcb,云南军阀混战,Event,influenced,IENT-212f32141587d918fca4d193,火药爆炸事件,Event,云南省,1929-07-01
IENT-b946c1cf8c995fc662532e6d,欧阳笛渔,Person,organized,IENT-3ed113bcc26677c4f7183543,中共南华小组,Organization,,
IENT-23dc46d842654fb499a0c698,陈毅,Person,contacted,IENT-73b2e4438dad65c35baffc88,李明扬,Person,,
IENT-515f4faad6d95226398b3c79,清江工人运动,Event,occurred_at,IENT-150013408e671283c8ace4aa,临江镇,Place,,
IENT-d297bee1c7bd1043f3a99a23,向天培,Person,active_at,IENT-4bbfd29cb3acff64a0831f80,双河乡,Place,,
IENT-ab8cf645a9fbb40e54fad431,危拱之,Person,active_at,IENT-377ee9418da9ee8f6536c603,汀江,Place,,
IENT-79a4972cf56a0a3634cdc0a0,马成龙,Person,participated_in,IENT-a466655ce15bb3141625c888,龙场事件,Event,,
IENT-6e18a7690f2199118a2a4d1f,林青,Person,created,IENT-079103b2406af60556278f2e,草原艺术研究社,Organization,,
IENT-f6f5877662c59224dfae81e0,陈以文,Person,authored,IENT-bda5e84e9f48c09564512d03,《中国学生导报》,Document,,
IENT-089af2a3eddd5de448015944,保五旅,Organization,supported,IENT-7bbd2bd7ca08db9fb22db0ba,渡江战役,Event,,
IENT-de79a337a1aad230ba4cfde1,张宗逊,Person,participated_in,IENT-27a115dedf3145a4fd6b9356,遵义战役,Event,,
IENT-01a78c221637b55fd165bb09,吴宽林,Person,collaborated_with,IENT-c6716b5bb8135510f677231e,红军第三十师,Organization,,
IENT-70517aec2aa8580050f2f173,柳真吾,Person,influenced,IENT-0a4c3eedb2a6983674451ea0,舍会山,Place,江西省,1927-08-01
IENT-72e32df045f92a97708ea5c0,中共中央,Organization,guided,IENT-99fb26e318e3dcac70bd3110,广州起义,Event,,
ITOPIC-4f539fb137cd06c78795c977,攀枝花精神,Spirit,has_value_facet,ITOPIC-3c3b52ddd9c63bf3021b161b,开拓进取,ValueFacet,,
IENT-507149af5eaf69dae53a6a61,邵式平,Person,active_at,IENT-394e9a137d6076402c7f3cde,江西弋阳,Place,,
IENT-5d9eb8a9c01434342ee1bcff,总政治部,Organization,guided,IENT-8acdbe9a0f4279014796b7fd,各军团,Organization,,
IENT-a67fa18025a47d266c9de999,张体学,Person,collaborated_with,IENT-73e47a4ebd52851a5af3d910,王震,Person,,
IENT-37ae1a9a328150ecdb60e81c,程子健,Person,active_at,IENT-e93b959e209745f677d84a07,双江镇,Place,,
IENT-8a16f876bc3b17543769351c,刘昆府,Person,created,IENT-0dfe6263d607d41edc6048bd,云南人民自卫军第三支队建立,Organization,,
IENT-2043b08634f696ce72eaa2da,游击战,Event,occurred_at,IENT-f02803f20063bf6e4615ec9f,盐阜地区,Place,,
ITOPIC-e7334d035ef79a89c2ce28c6,茶馆小调,CreativeWork,mentioned_in,ITOPIC-169fd4d3682b96395978078a,北碚党史资料汇编 第2辑_12010770 (2),Document,,
IENT-5f367ca744a93f29000806a6,红军,Organization,captured,IENT-66873bc9ffe9d03f26a61e9f,江华县城,Place,,
IENT-b5859d6aecf6adfe81abb60c,罗炳辉,Person,participated_in,IENT-cee97e42bf454c49ccc01f0c,吉安起义,Event,,
IENT-132cb57d9aefa2d1bdde6ddd,李卓明,Person,participated_in,IENT-5e7bc4af908c3a37e3c11e51,四·二一战斗细节,Event,,
IENT-10c5dc1738a71896277b01be,彭干臣,Person,active_at,IENTREPAIR-363770c5c18e92169d490906,安庆,AdministrativeRegion,,
IENT-478c1b3d32c7acf2211cad04,延安党组织,Organization,dispatched,IENT-8d50ec8b00c3e2e4ae597a26,朱英汉,Person,,
IENT-4f3597d11648e826558e17f4,中共川北工委,Organization,active_at,IENT-4a17b316a16abd768a2c335b,巴中化成,Place,,
IENT-4dbc1b2a2be88fe50cd6a9a1,县税谷征收委员会,Organization,responsible_for,IENT-68a46e911801e4ca765532a6,崇明垦殖户处理,Event,,
IENT-0f2e513101a76b7f76ba3704,发行华中货币,Event,liberated,IENT-31c0e303955c45767a356110,华中,Place,,
IENTREPAIR-1ea9e83e6deb40a4067c1d65,团结友爱,Spirit,embodied_by_organization,IENT-5f367ca744a93f29000806a6,红军,Organization,,
IENT-ee450dda9d22ff1c5a1dce46,钟照群,Person,active_at,IENT-434c0af4d974a803783f912f,荣昌县,Place,,
IENT-9ea59a759cb03e2e5f9f1153,严朴,Person,led,IENT-0e9218ab9ee2f45b416f2475,无锡江苏中学,Institution,,
IENT-c2e98dfb22662574f3dbc2e6,唐玉琨,Person,participated_in,IENT-c3d5990c182d178fb2fe7480,三抗斗争,Event,,
IENT-0593116b45dfd61f90996fab,三支队,Organization,active_at,IENT-06a035a58ec81319f157c73a,沾益,Place,,
IENT-59a42812ceab1c14879ad302,李乐天,Person,led,IENT-45413773bad9aad9d7763a6b,油山游击队,Organization,,
IENT-8327d3a1577b179696fe5125,毛泽东,Person,led,IENT-cb793bc568b19de89db8bcda,湖南工人运动,Event,,
IENT-5f3c14abcbfe79ac9b300c83,吴先民,Person,active_at,IENTREPAIR-2d9921975bc223256d60da8b,横峰,AdministrativeRegion,,
IENT-edf65661590dfaaad7948151,发玉乡临时人民政府,Organization,collaborated_with,IENT-cb345e7bc1ec889d4f3b0a75,七捧游击武装,Organization,,
IENT-f35a32bac83af494d2766af0,彭德怀,Person,participated_in,IENT-3c4d7ce58ed96cffe11028e4,遵义会议,Event,,
IENT-8327d3a1577b179696fe5125,毛泽东,Person,visited,IENT-dce52ee85906676c6ce870a4,水口山铅锌矿,Place,,
IENT-ed0048fe73b8ceb0f8fb98cd,夏斗寅,Person,fought_at,IENTREPAIR-11e7d43c17a6e8c765e886b8,宜昌,AdministrativeRegion,,
IENT-ccb947dba89b755afbc14456,黄维兵团,Person,participated_in,IENT-2f91d94a94c0b8e53a2f5942,双堆集战役,Event,,1948-12-01
IENT-d10080536343f3a1ac4494d0,滇东临时工委,Organization,organized,IENT-4c6cc6d4698ec46c843bdd63,党委扩大会议,Event,,
IENT-0f067ccd65a04dfff69d10eb,瞿秋白,Person,organized,IENT-415a6b0fbebbd82fc5f2f1f7,中国共产党扩大的六届三中全会,Event,,
ITOPIC-802a3239a6a9c85ec7b32951,祁爱群精神,Spirit,has_value_facet,ITOPIC-6bd369803ee84cadec06fe1c,清正廉洁,ValueFacet,,
IENT-1c5f97414b57ab8ab51fedb7,陈德发,Person,held_position_in,IENT-69d50713805ec92be4cbec38,茶陵县苏维埃政府,Organization,,
IENT-2f42a352545199722082204d,肖光宇,Person,contacted,IENT-2c5bb5e0404ed8bbba01e541,马肃廷,Person,,
IENT-2c8689fc3115e448f49ac4b6,李润均,Person,active_at,IENTREPAIR-73d21d011d55d105ff4ba677,南溪,AdministrativeRegion,,
IENT-58419977f81297ed6a1309c8,戴资杰,Person,organized,IENT-736d604981afbf9e9dd7dd80,反帝大同盟,Organization,,
IENT-7a1d966d47397f0e125429ec,赤卫队,Organization,supported,IENT-cd6d7a64350dbd140ba52a93,靖卫团,Organization,,
IENT-7eb9077dd3c89b6571657398,茅丽瑛,Person,member_of,IENT-5cac8ace1de770b127f6a5fa,中国职业妇女俱乐部,Organization,,
IENT-6afacf99dc2ca92ddb6e7246,张舫,Person,participated_in,IENT-72bf72c694abd8c88c881302,陆良暴动,Event,,
IENT-fb237961a0e19ed2c1762469,彭雪枫,Person,led,IENT-6722f93f4ca5c5d5358628b9,彭雪枫支队在淮南的坚决斗争,Event,,
IENT-bdc2b27feed8d9715da47d51,傅烈,Person,led,IENT-03b2e24698410dba78147807,四川临时省委,Organization,四川省,
IENT-b8eabc59faf026b368255f1d,通兰特区党委,Organization,led,IENT-c972c758b71330adf6245f48,通兰人民自卫大队,Organization,,
IENT-608a9295a8383a4b20a1109d,邬芳,Person,participated_in,IENT-506f74dfdb3d1dd5a5e3ce95,反夺斗争,Event,江西省,1925-01-01
IENT-a82effb9be9395666f17fe87,王集成,Person,participated_in,IENT-b82d0e7eea4b5cb301212d2a,温坊战斗,Event,,1934-08-01
IENT-ecaf97d7995460d63da4bd24,张澜,Person,participated_in,IENT-9ebd9e4a7719ed5ded31dd52,四川保路运动,Event,四川省,1911-01-01
IENT-683a35ec0aa748198471c4cc,杨树民,Person,held_position_in,IENT-24b94bccd799e6afe3242121,鄂北红军连长,Organization,,
IENT-8327d3a1577b179696fe5125,毛泽东,Person,member_of,IENT-af549be14491705a6e74d742,中华全国农民协会临时执行委员会,Organization,,
IENT-dd8e3963005e14f89149bf34,杨汉钦,Person,active_at,IENT-bdc12dc0501f9f3d90c8e63f,射埠,Place,,
IENT-33a1d183da63d60aa3f2befa,何卓华,Person,led,IENT-ae3b5897e2c1cd807ffd04d0,罢课,Event,,
IENT-c0bc5d90a26f83fde95f8e92,四方面军,Organization,active_at,IENT-1bb0a47c50f06f1b5f8dbf3c,川北地区,Place,,
IENT-fcdd89a838ba63b743412bb1,武汉大学学生自治会,Institution,collaborated_with,IENT-b484d33b82f18b547cc24e14,华中大学,Institution,,
IENT-6ffce94b1fd1acc824e90186,熊跃初,Person,active_at,IENT-a094fbeca2dc5e2de820cfa4,栗埠乡,Place,,
IENT-27f94a0846c8a74f373c3bdb,红九军团,Organization,active_at,IENT-24574672612d728837175631,八堡,Place,,
IENT-9def9781c1b0d9f4e70e3c26,皖南特委,Organization,led,IENT-099c9f42dfc726c78cbe50d8,石青太县委,Organization,,
IENT-1d9da7c86edade8331f23fac,胡 筠,Person,active_at,IENT-b0346c49d3ce75e4d2d08dd3,铜鼓县,Place,,
IENT-a75c9483f5eb308234b8c52c,段德昌,Person,led,IENT-87388d88e04e4797389220ae,新六军,Organization,,
IENT-ea93d3a7b1e3c5fbbffa8849,崔方亭,Person,active_at,IENT-82e54f9a1a8e7df35bb27b96,清平镇,Place,,
IENT-2bb17cef653d46f344aaf54c,醴陵县工会,Organization,influenced,IENT-8b72c2a07ec09b01bf6e6e43,北伐军,Organization,湖南省,1924-01-01
IENT-9f29158bf4d763a262fc97a0,远谟,Person,active_at,IENT-ab9b00aeb61ebed10bfbaedc,花溪河畔,Place,,
IENT-634a680c046068190a9ce1f0,吴剑真,Person,influenced,IENT-e17d275daa463ceefd6b1f8e,地下党,Organization,,
IENT-303250d07309e18a5fe83428,陈望道,Person,worked_at,IENT-9038e9dc3c40671ba76c20a0,复旦大学,Institution,,
IENT-c25de5baf94239169d6153da,张浩,Person,active_at,IENT-77e23236f079d3c8a098ad2d,云龙县,Place,,
IENT-95319667fb0564c2b91830f7,中共安徽党组织,Organization,led,IENT-af65c8de30242ab3dd0668c8,安徽省民众总动员委员会,Organization,,
IENT-069a139dd36138e6c6ebfe6f,陈伯魁,Person,member_of,IENT-4fe4bbd4719ed9936bcc47f3,中国共产党,Organization,,
IENT-4c6e691780748840aba58625,邱绍周,Person,participated_in,IENT-5e7e871e8d92a680c29eb34d,马台渡口战役,Event,,
IENT-b28abeca5f329f82938fb3ae,金永华,Person,worked_at,IENT-fd8cc7b292e182cfbc8fbef0,重庆市,Place,,
IENT-8bc251572756176a485f2952,江苏省委,Organization,member_of,IENT-454095421bc61832ea74a285,淮阴特委,Organization,,
IENT-e091ca03031435cdb5815529,强渡嘉陵江战役,Event,occurred_at,IENT-0d8e18b20ca43e64f4c9cd47,嘉陵江,Place,,
IENT-72e32df045f92a97708ea5c0,中共中央,Organization,guided,IENT-5f940a767ec9881fa1961620,罗荣桓,Person,,
IENT-2ff71e100517a0ecd205e8e4,邓止戈,Person,organized,IENT-e74999623f03d876eb551f29,川滇黔边区游击纵队,Organization,,
IENT-f057dff5f1043ff81f64c522,江剑农,Person,participated_in,IENT-85661d9b6cb432c858c401ac,安峰山事件,Event,,
IENT-f3a505b4165cf599c3ba43de,南芜游击队,Organization,captured,IENT-a4b2318ee0b7d222290884ab,赵桥伪保安队据点,Place,,
IENT-33895cb7160a00af320b6e27,长征精神,Spirit,has_value_facet,ITOPIC-d0cab34fa11083ad3c49bb7f,实事求是,ValueFacet,,
IENT-a50ad21f7fd651052549a56f,唐兴发,Person,organized,IENT-84717981eddb81fd94d79b64,治安联防小组,Event,,
IENT-fc0dcffd70db5366455fd47a,张守恒,Person,active_at,IENT-4d5ada4f2ae4c700bd409fdb,合川,Place,,
IENT-f35a32bac83af494d2766af0,彭德怀,Person,member_of,IENT-5f8d1adf264260893b9d0561,红五军,Organization,,
IENT-ddabf7269ba3525af1f80367,阮啸仙,Person,dispatched,IENT-8bc251572756176a485f2952,江苏省委,Organization,,
IENT-43dc093a1e465a2fdf1f523b,谭世梁,Person,died_at,IENT-b4c7f4b2fe155f2b686cd9c6,涪江,Place,,
IENT-33d0c46b5a91e626eee45328,秦光远,Person,guided,IENT-073be0d8dbc9de9de4b85d26,统战工作,Event,,
IENT-869c31dd9524f0e33fd3a3d0,水口山工人罢工,Event,occurred_at,IENT-b8dcb1b4c68b8190d7dbfc0d,湖南水口山矿,Place,,
IENT-5c82774da4b8e99fd1c4eef3,罗永耆,Person,active_at,IENT-de38f0bbcdbfe7f67198055d,观音滩,Place,,
IENT-bee7987fc7acdab00e000e98,抗战精神,Spirit,has_value_facet,ITOPIC-882ae1adc80012ee0a7ca222,百折不挠,ValueFacet,,
